time,z_normalized
0.05,0.2754487176549836
0.05,0.2832843795392994
0.05,0.2902127542580637
0.05,0.2962521708449226
0.05,0.30134305994052224
0.05,0.305393776376625
0.05,0.3083264217602286
0.05,0.3100356041478598
0.05,0.31043884288810575
0.05,0.30948115088002237
0.05,0.30714419908996327
0.05,0.30345089880998755
0.05,0.2983920855232709
0.05,0.2915186979054496
0.05,0.28223962462139096
0.05,0.27003707047055214
0.05,0.2544757209038042
0.05,0.23523023557390488
0.05,0.2121081596275538
0.05,0.1851278220983994
0.05,0.1546466391425676
0.05,0.12131987371295794
0.05,0.08607314200877014
0.05,0.050024515082503385
0.05,0.01437912689648213
0.05,-0.01969454665426429
0.05,-0.05120215549435714
0.05,-0.07945636086201491
0.05,-0.10415931596046446
0.05,-0.1253797546658847
0.05,-0.14358964959469955
0.05,-0.15955882016010448
0.05,-0.1742495406285941
0.05,-0.18868365462601933
0.05,-0.20386925900299235
0.05,-0.2206953118914191
0.05,-0.23990872141243558
0.05,-0.26205477631705576
0.05,-0.28743590566046384
0.05,-0.31625831107119495
0.05,-0.3478758941131729
0.05,-0.3817571128106202
0.05,-0.41678847836944943
0.05,-0.451453263255328
0.05,-0.4839048173282683
0.05,-0.5122048452800448
0.05,-0.5345800131052594
0.05,-0.5497335416733495
0.05,-0.557055990615535
0.05,-0.5569093583463546
0.05,-0.5525516305966558
0.05,-0.5474561592426443
0.05,-0.5432175702116548
0.05,-0.5403444941874052
0.05,-0.5388186021362489
0.05,-0.5384291101712388
0.053,-0.5389469053717817
0.05,-0.540019153840162
0.05,-0.5414304894310213
0.052,-0.5431992411780071
0.05,-0.5453849784404743
0.05,-0.5477081834552981
0.05,-0.5500176416948857
0.05,-0.5519971773288183
0.05,-0.5532618806504976
0.05,-0.5533810193692064
0.051,-0.5519559370031113
0.05,-0.5491424303382169
0.05,-0.5451375364862328
0.05,-0.5401841151429895
0.05,-0.534360064701489
0.05,-0.527697460970614
0.05,-0.5201917216919534
0.05,-0.5117924420229754
0.05,-0.502426305829091
0.05,-0.4919970856836503
0.05,-0.4804131364184153
0.05,-0.46757364834832504
0.05,-0.4534053053387894
0.05,-0.43773398157015697
0.05,-0.42068339801954824
0.05,-0.40216190951872555
0.05,-0.3822290854270437
0.05,-0.3607428757337344
0.05,-0.3369426255424247
0.05,-0.31081917033629225
0.05,-0.2832339746967689
0.05,-0.25470483382439857
0.05,-0.22534172192106638
0.05,-0.19525461318865633
