t,x,y,z
0.050, -10237.213, -2514.579, 898.361
0.050, -10235.693, -2512.917, 900.515
0.050, -10233.758, -2510.975, 902.233
0.051, -10231.480, -2508.853, 903.577
0.050, -10228.913, -2506.593, 904.597
0.050, -10226.260, -2504.332, 905.285
0.050, -10223.601, -2502.070, 905.674
0.050, -10221.047, -2499.827, 905.773
0.050, -10218.694, -2497.596, 905.543
0.050, -10216.629, -2495.354, 904.846
0.050, -10214.896, -2493.080, 903.575
0.050, -10213.509, -2490.761, 901.680
0.050, -10212.455, -2488.390, 899.167
0.050, -10211.715, -2485.928, 896.072
0.050, -10211.280, -2483.306, 892.452
0.050, -10211.146, -2480.426, 888.389
0.050, -10211.313, -2477.160, 883.991
0.050, -10211.789, -2473.369, 879.385
0.050, -10212.588, -2468.906, 874.712
0.050, -10213.733, -2463.633, 870.114
0.050, -10215.252, -2457.434, 865.724
0.050, -10217.173, -2450.222, 861.661
0.050, -10219.523, -2441.953, 858.020
0.050, -10222.320, -2432.628, 854.856
0.050, -10225.577, -2422.302, 852.182
0.050, -10229.295, -2411.084, 849.964
0.050, -10233.467, -2399.130, 848.116
0.050, -10238.074, -2386.636, 846.512
0.050, -10243.097, -2373.825, 844.995
0.050, -10248.510, -2360.932, 843.385
0.050, -10254.290, -2348.177, 841.504
0.050, -10260.418, -2335.757, 839.184
0.050, -10266.881, -2323.833, 836.293
0.050, -10273.679, -2312.525, 832.737
0.050, -10280.826, -2301.919, 828.480
0.050, -10288.351, -2292.069, 823.536
0.050, -10296.293, -2283.011, 817.980
0.051, -10304.632, -2274.840, 811.990
0.055, -10314.085, -2267.138, 805.285
0.055, -10323.037, -2261.464, 799.319
0.060, -10331.412, -2257.519, 794.310
0.065, -10344.288, -2254.641, 788.324
0.087, -10349.475, -2254.730, 786.644
0.055, -10359.473, -2258.212, 785.189
0.050, -10365.919, -2262.954, 785.260
0.050, -10371.703, -2269.578, 785.572
0.054, -10377.206, -2278.381, 785.736
0.050, -10381.667, -2287.600, 785.497
0.050, -10385.603, -2297.700, 784.731
0.056, -10389.428, -2309.836, 783.171
0.056, -10392.650, -2322.306, 781.011
0.050, -10395.457, -2335.223, 778.353
0.051, -10397.160, -2344.116, 776.287
0.056, -10400.259, -2362.897, 771.242
0.065, -10402.405, -2377.872, 766.805
0.056, -10404.807, -2397.294, 760.683
0.052, -10406.369, -2411.872, 756.207
0.078, -10407.808, -2427.867, 751.746
0.051, -10409.060, -2447.124, 747.588
0.058, -10409.597, -2463.258, 745.668
0.056, -10409.532, -2478.380, 745.581
0.050, -10408.947, -2491.013, 746.953
0.053, -10407.691, -2503.553, 749.323
0.051, -10405.950, -2514.473, 751.897
0.050, -10403.821, -2524.397, 754.551
0.051, -10401.375, -2533.530, 757.208
0.052, -10398.635, -2542.029, 759.850
0.051, -10395.580, -2550.034, 762.495
0.052, -10392.506, -2556.808, 764.885
0.050, -10389.301, -2562.955, 767.212
0.051, -10385.880, -2568.507, 769.513
0.050, -10382.370, -2573.245, 771.715
0.050, -10378.688, -2577.268, 773.880
0.050, -10374.802, -2580.556, 776.026
0.050, -10370.672, -2583.078, 778.166
0.050, -10366.251, -2584.797, 780.311
0.050, -10361.488, -2585.666, 782.464
0.050, -10356.332, -2585.635, 784.618
